id,name,createdAt,expiresAt,rateType,rateTimestamp,status,totalCostHistorical,totalCostEstimated,currency,exportCreatedAt,item/serviceCode,item/usageType,item/operation,item/location,item/usageId,item/usageAccountId,item/accountName,item/group,item/quantity/unit,item/quantity/amount,item/costSummary/cost,item/costSummary/currency,item/costSummary/status,item/historicalUsage
73690965-a02f-40a6-ad9e-d82107dd49a7,vicobi,"November 8, 2025 at 19:53 (UTC+7:00)","December 8, 2026 at 19:53 (UTC+7:00)",BEFORE_DISCOUNTS,"November 8, 2025 at 19:53 (UTC+7:00)",VALID,0,60.350896,USD,"November 9, 2025 at 08:48 (UTC+7:00)",awswaf,APS1-WebACLV2,,ap-southeast-1,17c13034-46c9-4aee-a246-e32d74c0c2d4,989061864235,,waf,Month,1,5,USD,new,
73690965-a02f-40a6-ad9e-d82107dd49a7,vicobi,"November 8, 2025 at 19:53 (UTC+7:00)","December 8, 2026 at 19:53 (UTC+7:00)",BEFORE_DISCOUNTS,"November 8, 2025 at 19:53 (UTC+7:00)",VALID,0,60.350896,USD,"November 9, 2025 at 08:48 (UTC+7:00)",AmazonECS,APS1-Fargate-vCPU-Hours:perCPU,,ap-southeast-1,19332402-9a46-4705-9ea1-4ab185e38f93,989061864235,,ECS,hours,182.52,9.2282112,USD,new,
73690965-a02f-40a6-ad9e-d82107dd49a7,vicobi,"November 8, 2025 at 19:53 (UTC+7:00)","December 8, 2026 at 19:53 (UTC+7:00)",BEFORE_DISCOUNTS,"November 8, 2025 at 19:53 (UTC+7:00)",VALID,0,60.350896,USD,"November 9, 2025 at 08:48 (UTC+7:00)",AmazonCloudFront,US-DataTransfer-Out-OBytes,,,22aa2dec-8a8b-4041-86da-c3f11156abd3,989061864235,,cloudfront,GB,50,1,USD,new,
73690965-a02f-40a6-ad9e-d82107dd49a7,vicobi,"November 8, 2025 at 19:53 (UTC+7:00)","December 8, 2026 at 19:53 (UTC+7:00)",BEFORE_DISCOUNTS,"November 8, 2025 at 19:53 (UTC+7:00)",VALID,0,60.350896,USD,"November 9, 2025 at 08:48 (UTC+7:00)",AmazonVPC,APS1-VpcEndpoint-Bytes,VpcEndpoint,ap-southeast-1,28e6b27a-ff0e-495f-a66f-245f46f52745,989061864235,,VPC,GB,100,1,USD,new,
73690965-a02f-40a6-ad9e-d82107dd49a7,vicobi,"November 8, 2025 at 19:53 (UTC+7:00)","December 8, 2026 at 19:53 (UTC+7:00)",BEFORE_DISCOUNTS,"November 8, 2025 at 19:53 (UTC+7:00)",VALID,0,60.350896,USD,"November 9, 2025 at 08:48 (UTC+7:00)",AmazonRoute53,HostedZone,,,2a93286a-ee48-49d3-906e-43c377a54b50,989061864235,,route53,HostedZone,1,0.5,USD,new,
73690965-a02f-40a6-ad9e-d82107dd49a7,vicobi,"November 8, 2025 at 19:53 (UTC+7:00)","December 8, 2026 at 19:53 (UTC+7:00)",BEFORE_DISCOUNTS,"November 8, 2025 at 19:53 (UTC+7:00)",VALID,0,60.350896,USD,"November 9, 2025 at 08:48 (UTC+7:00)",AmazonCloudFront,US-Requests-HTTPS-Proxy,,,2c0481b0-ac9d-46ca-bd0c-f6c977128865,989061864235,,cloudfront,Requests,1000000,1,USD,new,
73690965-a02f-40a6-ad9e-d82107dd49a7,vicobi,"November 8, 2025 at 19:53 (UTC+7:00)","December 8, 2026 at 19:53 (UTC+7:00)",BEFORE_DISCOUNTS,"November 8, 2025 at 19:53 (UTC+7:00)",VALID,0,60.350896,USD,"November 9, 2025 at 08:48 (UTC+7:00)",AmazonECS,APS1-Fargate-GB-Hours,,ap-southeast-1,38ba963d-1fbd-4235-8c1b-843f6d2d4794,989061864235,,ECS,hours,1460.16,8.0746848,USD,new,
73690965-a02f-40a6-ad9e-d82107dd49a7,vicobi,"November 8, 2025 at 19:53 (UTC+7:00)","December 8, 2026 at 19:53 (UTC+7:00)",BEFORE_DISCOUNTS,"November 8, 2025 at 19:53 (UTC+7:00)",VALID,0,60.350896,USD,"November 9, 2025 at 08:48 (UTC+7:00)",AmazonVPC,APS1-VpcEndpoint-Hours,VpcEndpoint,ap-southeast-1,3d6edeb8-de00-425d-846d-3616098aa4c7,989061864235,,VPC,Hrs,730,9.49,USD,new,
73690965-a02f-40a6-ad9e-d82107dd49a7,vicobi,"November 8, 2025 at 19:53 (UTC+7:00)","December 8, 2026 at 19:53 (UTC+7:00)",BEFORE_DISCOUNTS,"November 8, 2025 at 19:53 (UTC+7:00)",VALID,0,60.350896,USD,"November 9, 2025 at 08:48 (UTC+7:00)",AmazonS3,APS1-Select-Scanned-Bytes,,ap-southeast-1,5ebabee0-6274-442d-8d1f-774ee755c3fd,989061864235,,s3,GB,10,0.025,USD,new,
73690965-a02f-40a6-ad9e-d82107dd49a7,vicobi,"November 8, 2025 at 19:53 (UTC+7:00)","December 8, 2026 at 19:53 (UTC+7:00)",BEFORE_DISCOUNTS,"November 8, 2025 at 19:53 (UTC+7:00)",VALID,0,60.350896,USD,"November 9, 2025 at 08:48 (UTC+7:00)",awswaf,APS1-RuleV2,,ap-southeast-1,81bb7943-bcc3-49fa-a9de-5f2c18064a66,989061864235,,waf,Month,1,1,USD,new,
73690965-a02f-40a6-ad9e-d82107dd49a7,vicobi,"November 8, 2025 at 19:53 (UTC+7:00)","December 8, 2026 at 19:53 (UTC+7:00)",BEFORE_DISCOUNTS,"November 8, 2025 at 19:53 (UTC+7:00)",VALID,0,60.350896,USD,"November 9, 2025 at 08:48 (UTC+7:00)",AmazonECR,APS1-TimedStorage-ByteHrs,,ap-southeast-1,82349321-e25b-4538-a35d-8fc48fd50a7c,989061864235,,ECR,GB-Mo,10,1,USD,new,
73690965-a02f-40a6-ad9e-d82107dd49a7,vicobi,"November 8, 2025 at 19:53 (UTC+7:00)","December 8, 2026 at 19:53 (UTC+7:00)",BEFORE_DISCOUNTS,"November 8, 2025 at 19:53 (UTC+7:00)",VALID,0,60.350896,USD,"November 9, 2025 at 08:48 (UTC+7:00)",AWSELB,APS1-LCUUsage,LoadBalancing:Application,ap-southeast-1,897ce3b7-87e2-4738-8c80-cf9cc4ac0d96,989061864235,,ELB,LCU-Hrs,73,0.584,USD,new,
73690965-a02f-40a6-ad9e-d82107dd49a7,vicobi,"November 8, 2025 at 19:53 (UTC+7:00)","December 8, 2026 at 19:53 (UTC+7:00)",BEFORE_DISCOUNTS,"November 8, 2025 at 19:53 (UTC+7:00)",VALID,0,60.350896,USD,"November 9, 2025 at 08:48 (UTC+7:00)",AmazonS3,APS1-Requests-Tier2,,ap-southeast-1,8c74a177-dd77-4418-a8c0-e2e2a8a377e9,989061864235,,s3,Requests,10000,0.004,USD,new,
73690965-a02f-40a6-ad9e-d82107dd49a7,vicobi,"November 8, 2025 at 19:53 (UTC+7:00)","December 8, 2026 at 19:53 (UTC+7:00)",BEFORE_DISCOUNTS,"November 8, 2025 at 19:53 (UTC+7:00)",VALID,0,60.350896,USD,"November 9, 2025 at 08:48 (UTC+7:00)",awswaf,APS1-RequestV2-Tier1,,ap-southeast-1,9e986e75-68bc-4705-ad2e-add0e367a82c,989061864235,,waf,Request,2000000,1.2,USD,new,
73690965-a02f-40a6-ad9e-d82107dd49a7,vicobi,"November 8, 2025 at 19:53 (UTC+7:00)","December 8, 2026 at 19:53 (UTC+7:00)",BEFORE_DISCOUNTS,"November 8, 2025 at 19:53 (UTC+7:00)",VALID,0,60.350896,USD,"November 9, 2025 at 08:48 (UTC+7:00)",AmazonS3,APS1-TimedStorage-ByteHrs,,ap-southeast-1,b07391bc-126f-435d-9b6e-f69039971fd0,989061864235,,s3,GB-Mo,10,0.25,USD,new,
73690965-a02f-40a6-ad9e-d82107dd49a7,vicobi,"November 8, 2025 at 19:53 (UTC+7:00)","December 8, 2026 at 19:53 (UTC+7:00)",BEFORE_DISCOUNTS,"November 8, 2025 at 19:53 (UTC+7:00)",VALID,0,60.350896,USD,"November 9, 2025 at 08:48 (UTC+7:00)",AmazonS3,APS1-Select-Returned-Bytes,,ap-southeast-1,cb65326d-bcbe-463f-9822-7ae5921439b8,989061864235,,s3,GB,10,0.009,USD,new,
73690965-a02f-40a6-ad9e-d82107dd49a7,vicobi,"November 8, 2025 at 19:53 (UTC+7:00)","December 8, 2026 at 19:53 (UTC+7:00)",BEFORE_DISCOUNTS,"November 8, 2025 at 19:53 (UTC+7:00)",VALID,0,60.350896,USD,"November 9, 2025 at 08:48 (UTC+7:00)",AmazonApiGateway,APS1-ApiGatewayHttpRequest,ApiGatewayHttpApi,ap-southeast-1,e19e0bd1-1bb6-4341-b1a6-bd05d40191cd,989061864235,,APIGateway,Requests,2000000,2.5,USD,new,
73690965-a02f-40a6-ad9e-d82107dd49a7,vicobi,"November 8, 2025 at 19:53 (UTC+7:00)","December 8, 2026 at 19:53 (UTC+7:00)",BEFORE_DISCOUNTS,"November 8, 2025 at 19:53 (UTC+7:00)",VALID,0,60.350896,USD,"November 9, 2025 at 08:48 (UTC+7:00)",AWSELB,APS1-LoadBalancerUsage,LoadBalancing:Application,ap-southeast-1,f35c54f4-302a-49c1-a5ce-8b0b1f15b273,989061864235,,ELB,Hrs,730,18.396,USD,new,
73690965-a02f-40a6-ad9e-d82107dd49a7,vicobi,"November 8, 2025 at 19:53 (UTC+7:00)","December 8, 2026 at 19:53 (UTC+7:00)",BEFORE_DISCOUNTS,"November 8, 2025 at 19:53 (UTC+7:00)",VALID,0,60.350896,USD,"November 9, 2025 at 08:48 (UTC+7:00)",AmazonRoute53,DNS-Queries,,NoRegion,f801cb27-b503-44dc-bfd8-22334af799c5,989061864235,,route53,Queries,100000,0.04,USD,new,
73690965-a02f-40a6-ad9e-d82107dd49a7,vicobi,"November 8, 2025 at 19:53 (UTC+7:00)","December 8, 2026 at 19:53 (UTC+7:00)",BEFORE_DISCOUNTS,"November 8, 2025 at 19:53 (UTC+7:00)",VALID,0,60.350896,USD,"November 9, 2025 at 08:48 (UTC+7:00)",AmazonS3,APS1-Requests-Tier1,,ap-southeast-1,fcf33695-3e9c-48d4-bfe7-3efb29483dd4,989061864235,,s3,Requests,10000,0.05,USD,new,